ILAY,INODE,ICOL,IROW,X,Y,head_m,cond_m2_per_day
7,230596,1,218,551750,7118750,540.46,0.073720001
7,230621,1,219,551750,7117250,518.17749,0.073720001
7,230652,1,220,551750,7115750,491.02003,0.073720001
7,230688,1,221,551750,7114250,474.47269,0.073720001
7,230730,1,222,551750,7112750,471.60811,0.073720001
7,230772,1,223,551750,7111250,473.4035,0.073720001
7,230819,1,224,551750,7109750,467.85915,0.1419
7,230869,1,225,551750,7108250,447.76886,0.21008
7,230925,1,226,551750,7106750,418.10021,0.27826
7,230985,1,227,551750,7105250,392.58258,0.34644
7,231047,1,228,551750,7103750,379.49669,0.41462
7,231112,1,229,551750,7102250,376.6983,0.4828
7,231192,1,230,551750,7100750,376.70154,0.5689
7,231279,1,231,551750,7099250,372.21735,0.655
7,231373,1,232,551750,7097750,361.10261,0.7411
7,231481,1,233,551750,7096250,347.98883,0.8272
7,231603,1,234,551750,7094750,338.97439,0.9133
7,231741,1,235,551750,7093250,336.2193,0.9994
7,231886,1,236,551750,7091750,337.94903,0.954917
7,232041,1,237,551750,7090250,340.70056,0.910433
7,232204,1,238,551750,7088750,341.61061,0.86595
7,232370,1,239,551750,7087250,340.28587,0.821467
7,232536,1,240,551750,7085750,338.46332,0.776983
7,232703,1,241,551750,7084250,337.7469,0.7325
7,232871,1,242,551750,7082750,338.23052,0.687317
7,233040,1,243,551750,7081250,338.75677,0.642133
7,233208,1,244,551750,7079750,338.03407,0.59695
7,233378,1,245,551750,7078250,335.87187,0.551767
7,233548,1,246,551750,7076750,333.41788,0.506583
7,233719,1,247,551750,7075250,332.2787,0.4614
7,233891,1,248,551750,7073750,333.78927,0.464333
7,234063,1,249,551750,7072250,338.74623,0.467267
7,234236,1,250,551750,7070750,346.93026,0.4702
7,234409,1,251,551750,7069250,356.53753,0.473133
7,234583,1,252,551750,7067750,364.50283,0.476067
7,234757,1,253,551750,7066250,367.7026,0.479
7,234932,1,254,551750,7064750,364.11829,0.50175
7,235107,1,255,551750,7063250,353.9408,0.5245
7,235283,1,256,551750,7061750,340.33758,0.54725
7,235460,1,257,551750,7060250,328.16568,0.57
7,235638,1,258,551750,7058750,320.8641,0.59275
