INODE,X,Y,ILAY,head_predev_m
230510,623750,7129250,7,588.1467
230511,610250,7127750,7,526.3768
230512,611750,7127750,7,528.7949
230513,614750,7127750,7,527.2391
230514,617750,7127750,7,527.7418
230515,619250,7127750,7,539.6907
230516,622250,7127750,7,557.7909
230517,623750,7127750,7,586.4781
230518,605750,7126250,7,517.658
230519,607250,7126250,7,513.4893
230520,608750,7126250,7,512.7172
230521,610250,7126250,7,516.6444
230522,611750,7126250,7,520.4146
230523,613250,7126250,7,524.4815
230524,614750,7126250,7,525.4239
230525,616250,7126250,7,520.5098
230526,617750,7126250,7,529.2316
230527,619250,7126250,7,537.8989
230528,620750,7126250,7,543.8397
230529,622250,7126250,7,564.5271
230530,623750,7126250,7,577.3858
230531,605750,7124750,7,509.7889
230532,607250,7124750,7,503.2247
230533,608750,7124750,7,503.0251
230534,610250,7124750,7,506.2015
230535,611750,7124750,7,512.7564
230536,613250,7124750,7,517.1978
230537,614750,7124750,7,521.0334
230538,616250,7124750,7,523.3085
230539,617750,7124750,7,527.5037
230540,619250,7124750,7,532.7471
230541,620750,7124750,7,538.9978
230542,622250,7124750,7,549.2393
230543,623750,7124750,7,567.0782
230544,604250,7123250,7,502.0683
230545,605750,7123250,7,501.4093
230546,607250,7123250,7,496.5863
230547,608750,7123250,7,497.6137
230548,610250,7123250,7,500.1809
230549,611750,7123250,7,503.2902
230550,613250,7123250,7,508.0512
230551,614750,7123250,7,513.8421
230552,616250,7123250,7,518.8476
230553,617750,7123250,7,523.9184
230554,619250,7123250,7,529.1599
230555,620750,7123250,7,535.2342
230556,622250,7123250,7,542.9744
230557,623750,7123250,7,553.8793
230558,625250,7123250,7,558.6943
230559,554750,7121750,7,443.7215
230560,604250,7121750,7,489.0584
230561,605750,7121750,7,488.7812
230562,607250,7121750,7,490.381
230563,608750,7121750,7,492.6621
230564,610250,7121750,7,495.7654
230565,611750,7121750,7,499.2615
230566,613250,7121750,7,504.0506
230567,614750,7121750,7,509.7005
230568,616250,7121750,7,515.0611
230569,617750,7121750,7,520.2784
230570,619250,7121750,7,525.5156
230571,620750,7121750,7,531.0304
230572,622250,7121750,7,536.6381
230573,623750,7121750,7,542.091
230574,625250,7121750,7,544.9871
230575,553250,7120250,7,438.8219
230576,554750,7120250,7,435.9059
230577,556250,7120250,7,428.1755
230578,601250,7120250,7,482.8924
230579,602750,7120250,7,482.7138
230580,604250,7120250,7,480.2126
230581,605750,7120250,7,481.9732
230582,607250,7120250,7,484.7197
230583,608750,7120250,7,487.7748
230584,610250,7120250,7,491.5683
230585,611750,7120250,7,495.735
230586,613250,7120250,7,500.6982
230587,614750,7120250,7,506.0332
230588,616250,7120250,7,511.2311
230589,617750,7120250,7,516.3021
230590,619250,7120250,7,521.2767
230591,620750,7120250,7,526.0771
230592,622250,7120250,7,530.2047
230593,623750,7120250,7,533.2631
230594,625250,7120250,7,534.0533
230595,626750,7120250,7,530.556
230596,551750,7118750,7,436.2425
230597,553250,7118750,7,433.811
230598,554750,7118750,7,426.624
230599,556250,7118750,7,426.7566
230600,557750,7118750,7,426.6163
230601,566750,7118750,7,403.5881
230602,568250,7118750,7,403.6051
230603,601250,7118750,7,471.0219
230604,602750,7118750,7,474.0208
230605,604250,7118750,7,473.0259
230606,605750,7118750,7,475.5894
230607,607250,7118750,7,478.8804
230608,608750,7118750,7,482.4596
230609,610250,7118750,7,486.934
230610,611750,7118750,7,491.7034
230611,613250,7118750,7,496.8347
230612,614750,7118750,7,501.9598
230613,616250,7118750,7,506.9733
230614,617750,7118750,7,511.7738
230615,619250,7118750,7,516.2445
230616,620750,7118750,7,520.2298
230617,622250,7118750,7,523.3525
230618,623750,7118750,7,525.3445
230619,625250,7118750,7,526.0399
230620,626750,7118750,7,525.8168
230621,551750,7117250,7,428.882
230622,553250,7117250,7,424.8731
230623,554750,7117250,7,425.1539
230624,556250,7117250,7,425.5447
230625,557750,7117250,7,425.4979
230626,562250,7117250,7,404.8654
230627,563750,7117250,7,404.6197
230628,565250,7117250,7,404.1509
230629,566750,7117250,7,403.5067
230630,568250,7117250,7,403.3317
230631,569750,7117250,7,403.0747
230632,574250,7117250,7,401.4968
230633,599750,7117250,7,452.5612
230634,601250,7117250,7,459.3708
230635,602750,7117250,7,463.0114
230636,604250,7117250,7,466.2169
230637,605750,7117250,7,469.5173
230638,607250,7117250,7,473.0781
230639,608750,7117250,7,476.9251
230640,610250,7117250,7,481.7581
230641,611750,7117250,7,486.9185
230642,613250,7117250,7,492.174
230643,614750,7117250,7,497.3003
230644,616250,7117250,7,502.1835
230645,617750,7117250,7,506.6243
230646,619250,7117250,7,510.3753
230647,620750,7117250,7,513.3746
230648,622250,7117250,7,515.5697
230649,623750,7117250,7,516.7015
230650,625250,7117250,7,517.0153
230651,626750,7117250,7,517.3168
230652,551750,7115750,7,421.869
230653,553250,7115750,7,422.2638
230654,554750,7115750,7,422.9603
230655,556250,7115750,7,422.9959
230656,557750,7115750,7,422.8438
230657,559250,7115750,7,422.5026
230658,563750,7115750,7,404.5995
230659,565250,7115750,7,404.1223
230660,566750,7115750,7,403.2726
230661,568250,7115750,7,402.9033
230662,569750,7115750,7,402.3006
230663,571250,7115750,7,401.5974
230664,572750,7115750,7,401.1336
230665,574250,7115750,7,400.6988
230666,596750,7115750,7,440.4903
230667,598250,7115750,7,445.3041
230668,599750,7115750,7,451.8074
230669,601250,7115750,7,454.8986
230670,602750,7115750,7,457.8095
230671,604250,7115750,7,461.0054
230672,605750,7115750,7,464.2576
230673,607250,7115750,7,467.7511
230674,608750,7115750,7,471.6636
230675,610250,7115750,7,476.4279
230676,611750,7115750,7,481.7343
230677,613250,7115750,7,487.0267
230678,614750,7115750,7,492.1105
230679,616250,7115750,7,496.8817
230680,617750,7115750,7,500.9173
230681,619250,7115750,7,503.876
230682,620750,7115750,7,505.7047
230683,622250,7115750,7,506.6156
230684,623750,7115750,7,506.5666
230685,625250,7115750,7,505.5378
230686,626750,7115750,7,501.2
230687,628250,7115750,7,493.2793
230688,551750,7114250,7,418.5811
230689,553250,7114250,7,419.1702
230690,554750,7114250,7,419.9248
230691,556250,7114250,7,420.309
230692,557750,7114250,7,420.7039
230693,559250,7114250,7,421.7156
230694,562250,7114250,7,406.2437
230695,563750,7114250,7,404.5686
230696,565250,7114250,7,403.9034
230697,566750,7114250,7,402.7504
230698,568250,7114250,7,402.1186
230699,569750,7114250,7,401.3905
230700,571250,7114250,7,400.5691
230701,572750,7114250,7,399.9503
230702,574250,7114250,7,399.7254
230703,575750,7114250,7,399.3481
230704,577250,7114250,7,399.2309
230705,595250,7114250,7,424.2591
230706,596750,7114250,7,433.4328
230707,598250,7114250,7,436.8769
230708,599750,7114250,7,444.0822
230709,601250,7114250,7,449.3933
230710,602750,7114250,7,452.4103
230711,604250,7114250,7,455.4806
230712,605750,7114250,7,458.6624
230713,607250,7114250,7,462.1803
230714,608750,7114250,7,466.217
230715,610250,7114250,7,470.9358
230716,611750,7114250,7,476.21
230717,613250,7114250,7,481.4279
230718,614750,7114250,7,486.299
230719,616250,7114250,7,490.9133
230720,617750,7114250,7,494.4913
230721,619250,7114250,7,496.5786
230722,620750,7114250,7,497.1884
230723,622250,7114250,7,496.6469
230724,623750,7114250,7,494.8648
230725,625250,7114250,7,490.73
230726,626750,7114250,7,484.6263
230727,628250,7114250,7,479.6384
230728,629750,7114250,7,473.2367
230729,631250,7114250,7,472.4618
230730,551750,7112750,7,415.9952
230731,553250,7112750,7,416.2723
230732,554750,7112750,7,416.5791
230733,556250,7112750,7,417.0001
230734,557750,7112750,7,417.2967
230735,563750,7112750,7,404.199
230736,565250,7112750,7,403.2948
230737,566750,7112750,7,402.0953
230738,568250,7112750,7,401.5264
230739,569750,7112750,7,400.7486
230740,571250,7112750,7,400.0048
230741,572750,7112750,7,399.395
230742,574250,7112750,7,398.9569
230743,575750,7112750,7,398.5353
230744,577250,7112750,7,398.398
230745,578750,7112750,7,398.0953
230746,593750,7112750,7,405.8119
230747,595250,7112750,7,414.7315
230748,596750,7112750,7,422.2934
230749,598250,7112750,7,430.9071
230750,599750,7112750,7,434.5643
230751,601250,7112750,7,440.179
230752,602750,7112750,7,444.5859
230753,604250,7112750,7,448.3377
230754,605750,7112750,7,451.8354
230755,607250,7112750,7,455.626
230756,608750,7112750,7,459.9888
230757,610250,7112750,7,464.8727
230758,611750,7112750,7,470.0671
230759,613250,7112750,7,475.0436
230760,614750,7112750,7,479.5678
230761,616250,7112750,7,483.9071
230762,617750,7112750,7,486.9294
230763,619250,7112750,7,487.997
230764,620750,7112750,7,487.6838
230765,622250,7112750,7,485.9284
230766,623750,7112750,7,482.4711
230767,625250,7112750,7,476.8456
230768,626750,7112750,7,471.2885
230769,628250,7112750,7,465.6023
230770,629750,7112750,7,461.0848
230771,631250,7112750,7,460.9362
230772,551750,7111250,7,413.9374
230773,553250,7111250,7,413.9742
230774,554750,7111250,7,413.7987
230775,556250,7111250,7,413.6566
230776,557750,7111250,7,413.3129
230777,559250,7111250,7,411.9163
230778,560750,7111250,7,411.0738
230779,562250,7111250,7,409.4113
230780,563750,7111250,7,404.027
230781,565250,7111250,7,403.001
230782,566750,7111250,7,401.7385
230783,568250,7111250,7,401.0323
230784,569750,7111250,7,400.306
230785,571250,7111250,7,399.5839
230786,572750,7111250,7,398.9351
230787,574250,7111250,7,398.3455
230788,575750,7111250,7,397.6802
230789,577250,7111250,7,396.9089
230790,578750,7111250,7,396.1146
230791,580250,7111250,7,395.6222
230792,592250,7111250,7,393.1827
230793,593750,7111250,7,398.9007
230794,595250,7111250,7,405.8755
230795,596750,7111250,7,409.9383
230796,598250,7111250,7,414.033
230797,599750,7111250,7,420.8933
230798,601250,7111250,7,428.4093
230799,602750,7111250,7,434.4198
230800,604250,7111250,7,439.3429
230801,605750,7111250,7,443.675
230802,607250,7111250,7,447.9611
230803,608750,7111250,7,452.8818
230804,610250,7111250,7,458.0435
230805,611750,7111250,7,463.1432
230806,613250,7111250,7,467.8662
230807,614750,7111250,7,472.0888
230808,616250,7111250,7,475.8095
230809,617750,7111250,7,478.1033
230810,619250,7111250,7,478.6123
230811,620750,7111250,7,477.4141
230812,622250,7111250,7,474.5966
230813,623750,7111250,7,470.2279
230814,625250,7111250,7,464.1957
230815,626750,7111250,7,457.6159
230816,628250,7111250,7,451.4683
230817,629750,7111250,7,446.1629
230818,631250,7111250,7,440.8346
230819,551750,7109750,7,412.0352
230820,553250,7109750,7,411.9385
230821,554750,7109750,7,411.8019
230822,556250,7109750,7,411.4136
230823,557750,7109750,7,410.8727
230824,559250,7109750,7,410.1247
230825,560750,7109750,7,409.1258
230826,562250,7109750,7,406.6166
230827,563750,7109750,7,404.1453
230828,565250,7109750,7,402.4858
230829,566750,7109750,7,401.4609
230830,568250,7109750,7,400.6452
230831,569750,7109750,7,399.9078
230832,571250,7109750,7,399.1959
230833,572750,7109750,7,398.4925
230834,574250,7109750,7,397.7733
230835,575750,7109750,7,396.9843
230836,577250,7109750,7,396.1123
230837,578750,7109750,7,395.2513
230838,580250,7109750,7,394.2978
230839,581750,7109750,7,393.2059
230840,583250,7109750,7,392.784
230841,592250,7109750,7,386.3821
230842,593750,7109750,7,389.6629
230843,595250,7109750,7,397.0844
230844,596750,7109750,7,402.0538
230845,598250,7109750,7,405.1482
230846,599750,7109750,7,410.9477
230847,601250,7109750,7,417.9537
230848,602750,7109750,7,424.3802
230849,604250,7109750,7,430.017
230850,605750,7109750,7,434.9027
230851,607250,7109750,7,439.2384
230852,608750,7109750,7,445.1315
230853,610250,7109750,7,450.6975
230854,611750,7109750,7,455.6967
230855,613250,7109750,7,459.8415
