,ICOL,IROW,ILAY,INODE,IBOUND,NTOP,NBOT,X,Y,THICKNESS,OUTCROP,Depth,kx,SS,rch
230509,49,211,7,230510,1,606.6602,587.9924,623750,7129250,18.667800000000057,Y,9.333900000000085,0.2110554,-0.021985425,
230510,40,212,7,230511,1,547.5809,532.098,610250,7127750,15.482900000000086,Y,7.7414500000001,0.1991916,-0.021985425,
230511,41,212,7,230512,1,533.8467,528.6627,611750,7127750,5.184000000000083,Y,2.5920000000000982,0.1825281,-0.021985425,
230512,43,212,7,230513,1,539.551,527.0956,614750,7127750,12.455400000000054,Y,6.227700000000027,0.164826,-0.021985425,
230513,45,212,7,230514,1,536.3927,527.5653,617750,7127750,8.827400000000011,Y,4.413699999999949,0.1629582,-0.021985425,
230514,46,212,7,230515,1,559.9053,535.8423,619250,7127750,24.062999999999988,Y,12.031499999999937,0.1669413,-0.021985425,
230515,48,212,7,230516,1,559.5686,557.6125,622250,7127750,1.9560999999999922,Y,0.9780500000000529,0.1839312,-0.021985425,
230516,49,212,7,230517,1,639.6624,599.6204,623750,7127750,40.04200000000003,Y,20.021000000000072,0.1968494,-0.021985425,
230517,37,213,7,230518,1,541.4485,531.2126,605750,7126250,10.235900000000015,Y,5.117950000000064,0.2636488,-0.021985425,
230518,38,213,7,230519,1,552.976,536.7007,607250,7126250,16.275300000000016,Y,8.137650000000008,0.2248657,-0.021985425,
230519,39,213,7,230520,1,558.2297,537.5452,608750,7126250,20.684499999999957,Y,10.342250000000035,0.1963925,-0.021985425,
230520,40,213,7,230521,1,571.6768,531.5339,610250,7126250,40.14289999999994,Y,20.071449999999913,0.1758524,-0.021985425,
230521,41,213,7,230522,1,553.4034,526.9276,611750,7126250,26.47580000000005,Y,13.237899999999968,0.161534,-0.021985425,
230522,42,213,7,230523,1,534.6721,524.3742,613250,7126250,10.297900000000027,Y,5.1489500000000135,0.1522233,-0.021985425,
230523,43,213,7,230524,1,552.0797,522.2032,614750,7126250,29.876499999999965,Y,14.938249999999925,0.1470774,-0.021985425,
230524,44,213,7,230525,1,533.1378,520.3373,616250,7126250,12.800499999999943,Y,6.4002499999999145,0.1455315,-0.021985425,
230525,45,213,7,230526,1,547.4688,522.6004,617750,7126250,24.86839999999995,Y,12.434200000000033,0.1472295,-0.021985425,
230526,46,213,7,230527,1,558.7501,530.5252,619250,7126250,28.224899999999934,Y,14.112449999999967,0.1519719,-0.021985425,
230527,47,213,7,230528,1,557.7304,543.7036,620750,7126250,14.02679999999998,Y,7.013399999999933,0.1596747,-0.021985425,
230528,48,213,7,230529,1,574.8745,567.2368,622250,7126250,7.637699999999995,Y,3.8188499999999976,0.1703357,-0.021985425,
230529,49,213,7,230530,1,636.559,611.5369,623750,7126250,25.022100000000023,N,102.63835000000006,0.1840036,1.33e-05,
230530,37,214,7,230531,1,538.0845,518.9855,605750,7124750,19.099000000000046,Y,9.549499999999966,0.2312473,-0.021985425,
230531,38,214,7,230532,1,554.0909,524.7778,607250,7124750,29.313100000000077,N,18.611650000000054,0.197242,1.33e-05,
230532,39,214,7,230533,1,561.2697,526.2538,608750,7124750,35.01589999999999,N,76.35745000000009,0.1724508,1.33e-05,
230533,40,214,7,230534,1,564.5598,523.9708,610250,7124750,40.58899999999994,N,67.77869999999996,0.1547433,1.33e-05,
230534,41,214,7,230535,1,553.1583,521.1115,611750,7124750,32.046800000000076,Y,16.023400000000038,0.1426004,-0.021985425,
230535,42,214,7,230536,1,547.7072,518.5955,613250,7124750,29.111699999999928,Y,14.555849999999964,0.1349588,-0.021985425,
230536,43,214,7,230537,1,555.5005,516.0421,614750,7124750,39.45839999999998,Y,19.72919999999999,0.1310959,-0.021985425,
230537,44,214,7,230538,1,548.1747,514.6154,616250,7124750,33.55930000000001,Y,16.779649999999947,0.1305453,-0.021985425,
230538,45,214,7,230539,1,555.0682,516.7822,617750,7124750,38.28600000000006,N,32.10990000000004,0.1330352,1.33e-05,
230539,46,214,7,230540,1,556.0337,524.6367,619250,7124750,31.396999999999935,N,44.86059999999998,0.1384414,1.33e-05,
230540,47,214,7,230541,1,560.5438,539.569,620750,7124750,20.974800000000073,N,44.42730000000006,0.1467515,1.33e-05,
230541,48,214,7,230542,1,592.6823,567.9705,622250,7124750,24.71180000000004,N,53.29639999999995,0.1580336,1.33e-05,
230542,49,214,7,230543,1,631.4647,608.8632,623750,7124750,22.601499999999987,N,65.97315000000003,0.1724076,1.33e-05,
230543,36,215,7,230544,1,515.0254,498.1565,604250,7123250,16.868899999999996,Y,8.43444999999997,0.2418368,-0.021985425,
230544,37,215,7,230545,1,525.1389,503.7238,605750,7123250,21.415100000000052,Y,10.70754999999997,0.201605,-0.021985425,
230545,38,215,7,230546,1,534.9883,509.8627,607250,7123250,25.125599999999963,N,63.9609999999999,0.1721253,1.33e-05,
230546,39,215,7,230547,1,543.0872,513.2624,608750,7123250,29.824800000000096,N,95.28809999999999,0.1507814,1.33e-05,
230547,40,215,7,230548,1,545.5204,513.4951,610250,7123250,32.025300000000016,N,113.88835000000006,0.1356964,1.33e-05,
230548,41,215,7,230549,1,540.9931,512.4613,611750,7123250,28.531799999999976,N,48.54789999999991,0.1255452,1.33e-05,
230549,42,215,7,230550,1,539.7139,510.548,613250,7123250,29.165899999999965,N,36.05354999999997,0.119414,1.33e-05,
