INODE,X,Y,RCH_SS_m_per_day
230510,623750,7129250,2.886268e-05
230511,610250,7127750,1.7138062e-05
230512,611750,7127750,2.1683605e-05
230513,614750,7127750,2.1623475e-05
230514,617750,7127750,2.1737949e-05
230515,619250,7127750,2.1784404e-05
230516,622250,7127750,2.4592609e-05
230517,623750,7127750,2.9000996e-05
230518,605750,7126250,1.7549572e-05
230519,607250,7126250,1.6066284e-05
230520,608750,7126250,1.0643095e-05
230521,610250,7126250,1.244165e-05
230522,611750,7126250,1.4168663e-05
230523,613250,7126250,1.3946097e-05
230524,614750,7126250,1.3903831e-05
230525,616250,7126250,1.3985856e-05
230526,617750,7126250,1.4188911e-05
230527,619250,7126250,1.4370053e-05
230528,620750,7126250,1.4464841e-05
230529,622250,7126250,1.906543e-05
230531,605750,7124750,1.9207428e-05
230535,611750,7124750,9.0222984e-06
230536,613250,7124750,8.6191149e-06
230537,614750,7124750,8.4699486e-06
230538,616250,7124750,8.4893545e-06
230544,604250,7123250,1.9260895e-05
230545,605750,7123250,1.4310292e-05
230559,554750,7121750,1.5517897e-05
230560,604250,7121750,1.7734343e-05
230574,625250,7121750,1.8458175e-05
230575,553250,7120250,2.1054788e-05
230576,554750,7120250,2.0811814e-05
230577,556250,7120250,2.0756768e-05
230578,601250,7120250,1.9268433e-05
230579,602750,7120250,1.4913954e-05
230595,626750,7120250,1.0714181e-05
230596,551750,7118750,2.2357826e-05
230597,553250,7118750,2.1722873e-05
230598,554750,7118750,2.1517417e-05
230599,556250,7118750,2.1539154e-05
230600,557750,7118750,1.7920691e-05
230601,566750,7118750,2.1313361e-05
230602,568250,7118750,1.6822058e-05
230603,601250,7118750,1.6124081e-05
230604,602750,7118750,1.19857e-05
230620,626750,7118750,1.0370356e-05
230624,556250,7117250,2.1602966e-05
230626,562250,7117250,2.1954274e-05
230627,563750,7117250,2.3062375e-05
230628,565250,7117250,2.3071667e-05
230629,566750,7117250,2.2669868e-05
230630,568250,7117250,2.1343689e-05
230631,569750,7117250,2.0709262e-05
230632,574250,7117250,1.6913111e-05
230633,599750,7117250,1.564422e-05
230634,601250,7117250,8.8120378e-06
230658,563750,7115750,2.2355547e-05
230659,565250,7115750,2.2299801e-05
230660,566750,7115750,2.2105212e-05
230661,568250,7115750,2.1632415e-05
230663,571250,7115750,1.3853273e-05
230664,572750,7115750,1.3103635e-05
230665,574250,7115750,1.3053814e-05
230666,596750,7115750,1.4231458e-05
230667,598250,7115750,1.4512208e-05
230686,626750,7115750,1.1279836e-05
230687,628250,7115750,1.8614897e-05
230694,562250,7114250,2.0744674e-05
230695,563750,7114250,2.1691669e-05
230696,565250,7114250,2.1600861e-05
230697,566750,7114250,2.1607348e-05
230702,574250,7114250,9.2145192e-06
230703,575750,7114250,1.6487576e-05
230704,577250,7114250,1.8549334e-05
230705,595250,7114250,1.5106035e-05
230706,596750,7114250,1.6431775e-05
230727,628250,7114250,1.8309165e-05
230728,629750,7114250,2.0557974e-05
230729,631250,7114250,1.9854126e-05
230735,563750,7112750,2.1582104e-05
230736,565250,7112750,2.1616288e-05
230744,577250,7112750,1.1735558e-05
230745,578750,7112750,1.1378199e-05
230746,593750,7112750,1.4776637e-05
230747,595250,7112750,1.3112032e-05
230748,596750,7112750,1.1068033e-05
230770,629750,7112750,1.4803196e-05
230771,631250,7112750,1.4886396e-05
230779,562250,7111250,2.0668416e-05
230780,563750,7111250,2.1180831e-05
230781,565250,7111250,2.1324931e-05
230791,580250,7111250,1.2872216e-05
230792,592250,7111250,1.299726e-05
230793,593750,7111250,1.7528411e-05
230794,595250,7111250,1.090528e-05
230795,596750,7111250,6.6255857e-06
230796,598250,7111250,6.9025496e-06
230818,631250,7111250,7.5031958e-06
230826,562250,7109750,2.0436839e-05
230827,563750,7109750,2.0102532e-05
230839,581750,7109750,1.150938e-05
230840,583250,7109750,1.4227759e-05
230843,595250,7109750,8.1572571e-06
230844,596750,7109750,6.5702247e-06
230868,632750,7109750,8.0101945e-06
230891,584750,7108250,1.5753943e-05
230892,586250,7108250,1.5707277e-05
230893,587750,7108250,1.4993349e-05
230894,589250,7108250,1.4652539e-05
230895,590750,7108250,1.4992683e-05
230924,634250,7108250,7.7317054e-06
230949,587750,7106750,9.0040485e-06
230950,589250,7106750,8.8294801e-06
230980,634250,7106750,9.0133572e-06
230981,635750,7106750,1.444738e-05
230982,764750,7106750,1.5180119e-05
