ILAY,INODE,ICOL,IROW,X,Y,stage_m,cond_m2_per_day,rbot_m
7,230510,49,211,623750,7129250,588.09,5000.0,588.09
7,230511,40,212,610250,7127750,532.2,5000.0,532.2
7,230512,41,212,611750,7127750,528.76,5000.0,528.76
7,230513,43,212,614750,7127750,527.2,5000.0,527.2
7,230514,45,212,617750,7127750,527.66,5000.0,527.66
7,230515,46,212,619250,7127750,539.67,5000.0,539.67
7,230516,48,212,622250,7127750,557.71,5000.0,557.71
7,230517,49,212,623750,7127750,599.72,5000.0,599.72
7,230518,37,213,605750,7126250,531.31,5000.0,531.31
7,230519,38,213,607250,7126250,536.8,5000.0,536.8
7,230520,39,213,608750,7126250,538.63,5000.0,538.63
7,230521,40,213,610250,7126250,555.94,5000.0,555.94
7,230522,41,213,611750,7126250,533.95,5000.0,533.95
7,230523,42,213,613250,7126250,524.47,5000.0,524.47
7,230524,43,213,614750,7126250,527.64,5000.0,527.64
7,230525,44,213,616250,7126250,520.44,5000.0,520.44
7,230526,45,213,617750,7126250,529.2,5000.0,529.2
7,230527,46,213,619250,7126250,543.38,5000.0,543.38
7,230528,47,213,620750,7126250,543.8,5000.0,543.8
7,230529,48,213,622250,7126250,567.34,5000.0,567.34
7,230531,37,214,605750,7124750,519.09,5000.0,519.09
7,230535,41,214,611750,7124750,539.32,5000.0,539.32
7,230536,42,214,613250,7124750,530.33,5000.0,530.33
7,230537,43,214,614750,7124750,533.61,5000.0,533.61
7,230538,44,214,616250,7124750,531.8,5000.0,531.8
7,230544,36,215,604250,7123250,502.06,5000.0,502.06
7,230545,37,215,605750,7123250,510.95,5000.0,510.95
7,230559,3,216,554750,7121750,533.68,5000.0,533.68
7,230560,36,216,604250,7121750,489.01,5000.0,489.01
7,230574,50,216,625250,7121750,569.09,5000.0,569.09
7,230575,2,217,553250,7120250,546.48,5000.0,546.48
7,230576,3,217,554750,7120250,517.07,5000.0,517.07
7,230577,4,217,556250,7120250,516.17,5000.0,516.17
7,230578,34,217,601250,7120250,482.87,5000.0,482.87
7,230579,35,217,602750,7120250,486.94,5000.0,486.94
7,230595,51,217,626750,7120250,559.91,5000.0,559.91
7,230597,2,218,553250,7118750,531.56,5000.0,531.56
7,230598,3,218,554750,7118750,527.28,5000.0,527.28
7,230599,4,218,556250,7118750,515.17,5000.0,515.17
7,230600,5,218,557750,7118750,504.26,5000.0,504.26
7,230601,11,218,566750,7118750,515.83,5000.0,515.83
7,230602,12,218,568250,7118750,497.99,5000.0,497.99
7,230603,34,218,601250,7118750,470.98,5000.0,470.98
7,230604,35,218,602750,7118750,476.06,5000.0,476.06
7,230620,51,218,626750,7118750,557.45,5000.0,557.45
7,230624,4,219,556250,7117250,511.87,5000.0,511.87
7,230626,8,219,562250,7117250,523.01,5000.0,523.01
7,230627,9,219,563750,7117250,530.93,5000.0,530.93
7,230628,10,219,565250,7117250,521.0,5000.0,521.0
7,230629,11,219,566750,7117250,529.9,5000.0,529.9
7,230630,12,219,568250,7117250,491.22,5000.0,491.22
7,230631,13,219,569750,7117250,474.53,5000.0,474.53
7,230632,16,219,574250,7117250,438.82,5000.0,438.82
7,230633,33,219,599750,7117250,452.49,5000.0,452.49
7,230634,34,219,601250,7117250,460.31,5000.0,460.31
7,230658,9,220,563750,7115750,521.27,5000.0,521.27
7,230659,10,220,565250,7115750,511.78,5000.0,511.78
7,230660,11,220,566750,7115750,534.86,5000.0,534.86
7,230661,12,220,568250,7115750,485.67,5000.0,485.67
7,230663,14,220,571250,7115750,451.12,5000.0,451.12
7,230664,15,220,572750,7115750,441.36,5000.0,441.36
7,230665,16,220,574250,7115750,437.11,5000.0,437.11
7,230666,31,220,596750,7115750,440.47,5000.0,440.47
7,230667,32,220,598250,7115750,445.93,5000.0,445.93
7,230686,51,220,626750,7115750,536.49,5000.0,536.49
7,230687,52,220,628250,7115750,525.32,5000.0,525.32
7,230694,8,221,562250,7114250,496.42,5000.0,496.42
7,230695,9,221,563750,7114250,506.0,5000.0,506.0
7,230696,10,221,565250,7114250,498.81,5000.0,498.81
7,230697,11,221,566750,7114250,501.91,5000.0,501.91
7,230702,16,221,574250,7114250,435.77,5000.0,435.77
7,230703,17,221,575750,7114250,433.69,5000.0,433.69
7,230704,18,221,577250,7114250,436.72,5000.0,436.72
7,230705,30,221,595250,7114250,424.23,5000.0,424.23
7,230706,31,221,596750,7114250,433.68,5000.0,433.68
7,230727,52,221,628250,7114250,510.73,5000.0,510.73
7,230728,53,221,629750,7114250,496.56,5000.0,496.56
7,230729,54,221,631250,7114250,492.56,5000.0,492.56
7,230735,9,222,563750,7112750,490.37,5000.0,490.37
7,230736,10,222,565250,7112750,483.0,5000.0,483.0
7,230744,18,222,577250,7112750,422.28,5000.0,422.28
7,230745,19,222,578750,7112750,419.58,5000.0,419.58
7,230746,29,222,593750,7112750,405.77,5000.0,405.77
7,230747,30,222,595250,7112750,420.63,5000.0,420.63
7,230748,31,222,596750,7112750,422.27,5000.0,422.27
7,230770,53,222,629750,7112750,493.6,5000.0,493.6
7,230771,54,222,631250,7112750,481.98,5000.0,481.98
7,230779,8,223,562250,7111250,471.25,5000.0,471.25
7,230780,9,223,563750,7111250,477.17,5000.0,477.17
7,230781,10,223,565250,7111250,471.91,5000.0,471.91
7,230791,20,223,580250,7111250,405.27,5000.0,405.27
7,230792,28,223,592250,7111250,393.16,5000.0,393.16
7,230793,29,223,593750,7111250,405.38,5000.0,405.38
7,230794,30,223,595250,7111250,409.69,5000.0,409.69
7,230795,31,223,596750,7111250,409.91,5000.0,409.91
7,230796,32,223,598250,7111250,413.98,5000.0,413.98
7,230818,54,223,631250,7111250,467.74,5000.0,467.74
7,230826,8,224,562250,7109750,461.09,5000.0,461.09
7,230827,9,224,563750,7109750,456.31,5000.0,456.31
7,230839,21,224,581750,7109750,401.34,5000.0,401.34
7,230840,22,224,583250,7109750,396.11,5000.0,396.11
7,230843,30,224,595250,7109750,399.11,5000.0,399.11
7,230844,31,224,596750,7109750,404.09,5000.0,404.09
7,230868,55,224,632750,7109750,464.72,5000.0,464.72
7,230891,23,225,584750,7108250,388.59,5000.0,388.59
7,230892,24,225,586250,7108250,377.85,5000.0,377.85
7,230893,25,225,587750,7108250,374.25,5000.0,374.25
7,230894,26,225,589250,7108250,372.98,5000.0,372.98
7,230895,27,225,590750,7108250,372.55,5000.0,372.55
7,230924,56,225,634250,7108250,466.78,5000.0,466.78
7,230949,25,226,587750,7106750,364.99,5000.0,364.99
7,230950,26,226,589250,7106750,364.99,5000.0,364.99
7,230980,56,226,634250,7106750,473.81,5000.0,473.81
7,230981,57,226,635750,7106750,452.61,5000.0,452.61
7,230982,143,226,764750,7106750,353.21,5000.0,353.21
7,230983,144,226,766250,7106750,350.4,5000.0,350.4
7,230984,145,226,767750,7106750,353.2,5000.0,353.2
7,231040,56,227,634250,7105250,468.42,5000.0,468.42
7,231041,57,227,635750,7105250,445.6,5000.0,445.6
7,231042,58,227,637250,7105250,433.3,5000.0,433.3
7,231043,71,227,656750,7105250,451.67,5000.0,451.67
7,231044,144,227,766250,7105250,358.87,5000.0,358.87
7,231045,145,227,767750,7105250,360.41,5000.0,360.41
7,231046,146,227,769250,7105250,356.08,5000.0,356.08
7,231102,56,228,634250,7103750,464.85,5000.0,464.85
7,231103,57,228,635750,7103750,446.74,5000.0,446.74
7,231104,58,228,637250,7103750,428.41,5000.0,428.41
7,231105,59,228,638750,7103750,418.39,5000.0,418.39
7,231106,69,228,653750,7103750,436.14,5000.0,436.14
7,231107,70,228,655250,7103750,437.25,5000.0,437.25
7,231108,71,228,656750,7103750,440.52,5000.0,440.52
7,231109,72,228,658250,7103750,446.44,5000.0,446.44
7,231110,73,228,659750,7103750,441.48,5000.0,441.48
7,231111,144,228,766250,7103750,356.28,5000.0,356.28
7,231169,58,229,637250,7102250,424.95,5000.0,424.95
7,231170,59,229,638750,7102250,421.5,5000.0,421.5
7,231171,60,229,640250,7102250,408.16,5000.0,408.16
7,231172,61,229,641750,7102250,401.03,5000.0,401.03
7,231173,66,229,649250,7102250,424.55,5000.0,424.55
7,231174,68,229,652250,7102250,415.09,5000.0,415.09
7,231175,69,229,653750,7102250,423.0,5000.0,423.0
7,231176,70,229,655250,7102250,415.17,5000.0,415.17
7,231177,71,229,656750,7102250,419.28,5000.0,419.28
7,231178,72,229,658250,7102250,425.52,5000.0,425.52
7,231179,73,229,659750,7102250,423.06,5000.0,423.06
7,231180,90,229,685250,7102250,444.38,5000.0,444.38
7,231181,130,229,745250,7102250,351.77,5000.0,351.77
7,231182,131,229,746750,7102250,354.11,5000.0,354.11
7,231183,133,229,749750,7102250,340.15,5000.0,340.15
7,231184,134,229,751250,7102250,324.39,5000.0,324.39
7,231185,135,229,752750,7102250,307.29,5000.0,307.29
7,231186,143,229,764750,7102250,342.64,5000.0,342.64
7,231187,144,229,766250,7102250,346.42,5000.0,346.42
7,231188,145,229,767750,7102250,340.9,5000.0,340.9
7,231189,146,229,769250,7102250,336.18,5000.0,336.18
7,231190,147,229,770750,7102250,329.42,5000.0,329.42
7,231191,148,229,772250,7102250,327.77,5000.0,327.77
7,231249,58,230,637250,7100750,432.0,5000.0,432.0
7,231250,59,230,638750,7100750,428.17,5000.0,428.17
7,231251,60,230,640250,7100750,407.88,5000.0,407.88
