ILAY,INODE,ICOL,IROW,X,Y,head_m,cond_m2_per_day
19,781730,1,154,551750,7214750,602.18217,0.005961
19,781768,1,158,551750,7208750,608.52665,0.005961
19,782070,1,166,551750,7196750,622.35955,0.005961
19,782124,1,167,551750,7195250,616.38649,0.005961
19,782190,1,168,551750,7193750,615.97715,0.005961
19,782250,1,169,551750,7192250,616.9348,0.005961
19,782311,1,170,551750,7190750,614.9902,0.0059623299
19,782379,1,171,551750,7189250,609.50769,0.0059636701
19,782449,1,172,551750,7187750,604.09801,0.005965
19,782521,1,173,551750,7186250,602.91867,0.0059663299
19,782597,1,174,551750,7184750,605.8199,0.0059676701
19,782676,1,175,551750,7183250,608.0756,0.005969
19,782760,1,176,551750,7181750,604.56806,0.0059633302
19,782960,1,178,551750,7178750,582.97159,0.0059520002
19,783059,1,179,551750,7177250,576.80923,0.0059463298
19,783264,1,181,551750,7174250,579.7618,0.0059349998
19,783375,1,182,551750,7172750,575.01551,0.041212499
19,783491,1,183,551750,7171250,559.05144,0.07649
19,783608,1,184,551750,7169750,536.2689,0.111768
19,783729,1,185,551750,7168250,516.58991,0.147045
19,783850,1,186,551750,7166750,506.50837,0.182322
19,783973,1,187,551750,7165250,504.5391,0.2176
19,784098,1,188,551750,7163750,503.91447,0.265783
19,784224,1,189,551750,7162250,498.28911,0.313967
19,784352,1,190,551750,7160750,486.89972,0.36215
19,784474,1,191,551750,7159250,474.91514,0.410333
19,784601,1,192,551750,7157750,467.77421,0.458517
19,784733,1,193,551750,7156250,466.116,0.5067
19,784864,1,194,551750,7154750,466.02786,0.551733
19,784998,1,195,551750,7153250,462.77525,0.596767
19,785139,1,196,551750,7151750,455.04458,0.6418
19,785283,1,197,551750,7150250,446.17202,0.686833
19,785430,1,198,551750,7148750,440.49191,0.731867
19,785585,1,199,551750,7147250,439.0635,0.7769
19,785743,1,200,551750,7145750,439.13768,0.755783
19,785904,1,201,551750,7144250,436.75394,0.734667
19,786072,1,202,551750,7142750,430.30843,0.71355
19,786244,1,203,551750,7141250,422.19614,0.692433
19,786420,1,204,551750,7139750,416.35546,0.671317
19,786598,1,205,551750,7138250,414.5719,0.6502
19,786776,1,206,551750,7136750,415.48537,0.678317
19,786955,1,207,551750,7135250,416.18466,0.706433
19,787136,1,208,551750,7133750,414.72572,0.73455
19,787318,1,209,551750,7132250,411.74017,0.762667
19,787500,1,210,551750,7130750,409.36648,0.790783
19,787682,1,211,551750,7129250,408.704,0.8189
19,787863,1,212,551750,7127750,408.65772,0.86675
19,788045,1,213,551750,7126250,407.07245,0.9146
19,788226,1,214,551750,7124750,402.92485,0.96245
19,788408,1,215,551750,7123250,397.55693,1.0103
19,788590,1,216,551750,7121750,393.50681,1.05815
19,788776,1,217,551750,7120250,392.1921,1.106
19,788967,1,218,551750,7118750,392.96207,1.07837
19,789159,1,219,551750,7117250,394.00201,1.05073
19,789351,1,220,551750,7115750,393.92887,1.0231
19,789547,1,221,551750,7114250,392.82781,0.995467
19,789741,1,222,551750,7112750,391.81457,0.967833
19,789936,1,223,551750,7111250,391.5446,0.9402
19,790132,1,224,551750,7109750,391.36872,0.887183
19,790329,1,225,551750,7108250,390.03469,0.834167
19,790528,1,226,551750,7106750,387.10488,0.78115
19,790727,1,227,551750,7105250,383.62735,0.728133
19,790926,1,228,551750,7103750,381.24783,0.675117
19,791127,1,229,551750,7102250,380.5972,0.6221
19,791329,1,230,551750,7100750,380.6175,0.616283
19,791534,1,231,551750,7099250,379.41218,0.610467
19,791739,1,232,551750,7097750,375.87483,0.60465
19,791945,1,233,551750,7096250,370.82455,0.598833
19,792153,1,234,551750,7094750,366.50478,0.593017
19,792360,1,235,551750,7093250,364.8561,0.5872
19,792568,1,236,551750,7091750,366.36424,0.630617
19,792779,1,237,551750,7090250,370.12803,0.674033
19,792992,1,238,551750,7088750,374.41391,0.71745
19,793207,1,239,551750,7087250,377.51595,0.760867
19,793424,1,240,551750,7085750,378.82391,0.804283
19,793641,1,241,551750,7084250,378.9959,0.8477
19,793859,1,242,551750,7082750,379.14929,0.89525
19,794077,1,243,551750,7081250,380.21781,0.9428
19,794296,1,244,551750,7079750,382.542,0.99035
19,794517,1,245,551750,7078250,385.53603,1.0379
19,794740,1,246,551750,7076750,388.02128,1.08545
