INODE,X,Y,ILAY,head_predev_m
781683,604250,7234250,19,681.0666
781684,602750,7232750,19,955.8212
781685,604250,7232750,19,906.4561
781686,607250,7232750,19,944.1697
781687,610250,7232750,19,970.2375
781688,602750,7231250,19,908.2184
781689,604250,7231250,19,900.2102
781690,605750,7231250,19,867.456
781691,608750,7231250,19,887.9301
781692,610250,7231250,19,907.8162
781693,602750,7229750,19,860.9734
781694,604250,7229750,19,894.4888
781695,608750,7229750,19,853.4142
781696,610250,7229750,19,776.0081
781697,599750,7228250,19,783.5738
781698,602750,7228250,19,842.7411
781699,607250,7228250,19,774.0109
781700,608750,7228250,19,848.5609
781701,596750,7226750,19,767.4706
781702,607250,7226750,19,767.4763
781703,608750,7226750,19,777.329
781704,604250,7223750,19,752.0877
781705,605750,7223750,19,753.0914
781706,607250,7223750,19,757.8003
781707,608750,7223750,19,750.7034
781708,610250,7223750,19,751.8379
781709,613250,7223750,19,758.4542
781710,614750,7223750,19,754.5876
781711,616250,7223750,19,759.3443
781712,619250,7223750,19,749.714
781713,620750,7223750,19,812.8258
781714,556250,7222250,19,761.722
781715,557750,7222250,19,756.7389
781716,601250,7222250,19,741.3687
781717,602750,7222250,19,751.8456
781718,605750,7222250,19,752.3089
781719,607250,7222250,19,738.578
781720,613250,7222250,19,736.3042
781721,616250,7222250,19,746.8021
781722,617750,7222250,19,744.288
781723,619250,7222250,19,794.2785
781724,602750,7216250,19,711.6771
781725,604250,7216250,19,704.2323
781726,605750,7216250,19,694.0594
781727,608750,7216250,19,680.7748
781728,613250,7216250,19,659.8651
781729,634250,7216250,19,758.0074
781730,551750,7214750,19,2260.71
781731,596750,7213250,19,704.5048
781732,598250,7213250,19,703.6689
781733,601250,7213250,19,690.6169
781734,607250,7213250,19,635.1583
781735,608750,7213250,19,641.1128
781736,613250,7213250,19,659.9524
781737,614750,7213250,19,651.4455
781738,751250,7213250,19,321.6672
781739,755750,7213250,19,296.8686
781740,761750,7213250,19,331.1954
781741,763250,7213250,19,345.9976
781742,553250,7211750,19,757.3008
781743,596750,7211750,19,703.9705
781744,601250,7211750,19,680.3965
781745,604250,7211750,19,656.2684
781746,611750,7211750,19,636.1354
781747,614750,7211750,19,645.5893
781748,617750,7211750,19,620.3961
781749,637250,7211750,19,751.3281
781750,749750,7211750,19,316.011
781751,752750,7211750,19,292.3072
781752,755750,7211750,19,278.1064
781753,763250,7211750,19,331.2916
781754,764750,7211750,19,340.876
781755,554750,7210250,19,662.4736
781756,598250,7210250,19,674.9933
781757,601250,7210250,19,680.2637
781758,607250,7210250,19,627.1468
781759,610250,7210250,19,610.1116
781760,613250,7210250,19,637.5324
781761,614750,7210250,19,636.8239
781762,623750,7210250,19,601.1872
781763,755750,7210250,19,267.4797
781764,760250,7210250,19,281.8227
781765,761750,7210250,19,308.3451
781766,763250,7210250,19,327.0356
781767,764750,7210250,19,321.2187
781768,551750,7208750,19,1634.698
781769,590750,7208750,19,695.7001
781770,592250,7208750,19,703.5747
781771,593750,7208750,19,695.2559
781772,595250,7208750,19,698.0371
781773,596750,7208750,19,679.7306
781774,604250,7208750,19,628.6141
781775,608750,7208750,19,595.4836
781776,611750,7208750,19,611.9298
781777,614750,7208750,19,618.7148
781778,616250,7208750,19,606.944
781779,617750,7208750,19,594.0289
781780,742250,7208750,19,373.2267
781781,748250,7208750,19,295.0044
781782,751250,7208750,19,277.9738
781783,752750,7208750,19,279.5708
781784,754250,7208750,19,267.2503
781785,758750,7208750,19,261.303
781786,763250,7208750,19,299.1824
781787,764750,7208750,19,316.6274
781788,769250,7208750,19,277.397
781789,589250,7207250,19,691.9396
781790,592250,7207250,19,700.693
781791,593750,7207250,19,693.804
781792,595250,7207250,19,681.6491
781793,602750,7207250,19,643.4962
781794,607250,7207250,19,597.1754
781795,611750,7207250,19,604.6343
781796,613250,7207250,19,613.3588
781797,614750,7207250,19,605.5435
781798,616250,7207250,19,588.8834
781799,623750,7207250,19,589.417
781800,740750,7207250,19,379.1013
781801,746750,7207250,19,310.2434
781802,748250,7207250,19,302.5337
781803,749750,7207250,19,279.9262
781804,751250,7207250,19,289.8288
781805,752750,7207250,19,269.2298
781806,754250,7207250,19,271.3947
781807,755750,7207250,19,277.8502
781808,757250,7207250,19,287.1187
781809,760250,7207250,19,253.5657
781810,761750,7207250,19,262.9319
781811,764750,7207250,19,305.0867
781812,773750,7207250,19,239.3978
781813,775250,7207250,19,260.8504
781814,776750,7207250,19,264.662
781815,593750,7205750,19,677.5748
781816,598250,7205750,19,641.4399
781817,601250,7205750,19,619.4842
781818,602750,7205750,19,626.3317
781819,604250,7205750,19,619.2478
781820,605750,7205750,19,613.9696
781821,607250,7205750,19,597.0906
781822,610250,7205750,19,578.4343
781823,611750,7205750,19,595.4522
781824,614750,7205750,19,603.8257
781825,616250,7205750,19,585.881
