INODE,X,Y,RCH_SS_m_per_day
781684,602750,7232750,2.0419879e-05
781685,604250,7232750,2.4074428e-05
781686,607250,7232750,2.5273906e-05
781687,610250,7232750,2.7151689e-05
781688,602750,7231250,1.9250863e-05
781689,604250,7231250,2.1278087e-05
781690,605750,7231250,2.186263e-05
781691,608750,7231250,2.6219408e-05
781692,610250,7231250,2.8839078e-05
781693,602750,7229750,1.8598064e-05
781694,604250,7229750,1.9787271e-05
781695,608750,7229750,2.6063644e-05
781697,599750,7228250,1.8238401e-05
781698,602750,7228250,1.8460623e-05
781699,607250,7228250,2.0185227e-05
781700,608750,7228250,2.5949408e-05
781701,596750,7226750,1.4170663e-05
841731,607250,7225250,1.7017512e-05
841732,608750,7225250,1.8886529e-05
841733,610250,7225250,2.0071711e-05
841736,766250,7225250,7.3994088e-06
781704,604250,7223750,1.6066118e-05
781705,605750,7223750,1.6356093e-05
781706,607250,7223750,1.6462282e-05
781707,608750,7223750,1.7747043e-05
781708,610250,7223750,1.8544612e-05
781709,613250,7223750,2.0750231e-05
781713,620750,7223750,2.2545675e-05
841747,622250,7223750,1.9082096e-05
841749,766250,7223750,9.5818204e-06
781714,556250,7222250,9.3272683e-06
781715,557750,7222250,1.0607575e-05
781716,601250,7222250,1.1293135e-05
781717,602750,7222250,1.4893942e-05
781718,605750,7222250,1.6309679e-05
781719,607250,7222250,1.6263841e-05
781720,613250,7222250,2.0669762e-05
781721,616250,7222250,2.4081181e-05
781722,617750,7222250,2.4560111e-05
781723,619250,7222250,2.5242653e-05
841760,620750,7222250,1.9207611e-05
841761,758750,7222250,1.0338868e-05
841763,551750,7220750,1.1448683e-05
841764,557750,7220750,1.041869e-05
841765,605750,7220750,1.5071403e-05
841766,611750,7220750,1.6257447e-05
841767,613250,7220750,1.780919e-05
841768,616250,7220750,2.0243639e-05
841769,617750,7220750,1.9526682e-05
841770,619250,7220750,1.6970813e-05
841771,760250,7220750,1.0601899e-05
841774,554750,7219250,1.0270111e-05
