ILAY,INODE,ICOL,IROW,X,Y,stage_m,cond_m2_per_day,rbot_m
19,781684,35,142,602750,7232750,955.8,5000.0,955.8
19,781685,36,142,604250,7232750,906.84,5000.0,906.84
19,781686,38,142,607250,7232750,944.11,5000.0,944.11
19,781687,40,142,610250,7232750,970.19,5000.0,970.19
19,781688,35,143,602750,7231250,909.92,5000.0,909.92
19,781689,36,143,604250,7231250,900.09,5000.0,900.09
19,781690,37,143,605750,7231250,867.41,5000.0,867.41
19,781691,39,143,608750,7231250,887.88,5000.0,887.88
19,781692,40,143,610250,7231250,907.77,5000.0,907.77
19,781693,35,144,602750,7229750,860.92,5000.0,860.92
19,781694,36,144,604250,7229750,894.45,5000.0,894.45
19,781695,39,144,608750,7229750,853.36,5000.0,853.36
19,781697,33,145,599750,7228250,783.53,5000.0,783.53
19,781698,35,145,602750,7228250,842.7,5000.0,842.7
19,781699,38,145,607250,7228250,773.96,5000.0,773.96
19,781700,39,145,608750,7228250,848.52,5000.0,848.52
19,781701,31,146,596750,7226750,767.44,5000.0,767.44
19,781704,36,148,604250,7223750,752.05,5000.0,752.05
19,781705,37,148,605750,7223750,753.06,5000.0,753.06
19,781706,38,148,607250,7223750,757.77,5000.0,757.77
19,781707,39,148,608750,7223750,750.66,5000.0,750.66
19,781708,40,148,610250,7223750,751.8,5000.0,751.8
19,781709,42,148,613250,7223750,758.41,5000.0,758.41
19,781713,47,148,620750,7223750,812.79,5000.0,812.79
19,781714,4,149,556250,7222250,761.7,5000.0,761.7
19,781715,5,149,557750,7222250,756.71,5000.0,756.71
19,781716,34,149,601250,7222250,741.34,5000.0,741.34
19,781717,35,149,602750,7222250,751.82,5000.0,751.82
19,781718,37,149,605750,7222250,752.28,5000.0,752.28
19,781719,38,149,607250,7222250,738.53,5000.0,738.53
19,781720,42,149,613250,7222250,736.26,5000.0,736.26
19,781721,44,149,616250,7222250,746.76,5000.0,746.76
19,781722,45,149,617750,7222250,744.24,5000.0,744.24
19,781723,46,149,619250,7222250,794.24,5000.0,794.24
19,781724,35,153,602750,7216250,711.67,5000.0,711.67
19,781725,36,153,604250,7216250,704.21,5000.0,704.21
19,781726,37,153,605750,7216250,694.02,5000.0,694.02
19,781727,39,153,608750,7216250,680.75,5000.0,680.75
19,781728,42,153,613250,7216250,659.83,5000.0,659.83
19,781729,56,153,634250,7216250,757.99,5000.0,757.99
19,781731,31,155,596750,7213250,704.49,5000.0,704.49
19,781732,32,155,598250,7213250,703.65,5000.0,703.65
19,781733,34,155,601250,7213250,690.6,5000.0,690.6
19,781734,38,155,607250,7213250,635.14,5000.0,635.14
19,781735,39,155,608750,7213250,641.09,5000.0,641.09
19,781736,42,155,613250,7213250,659.93,5000.0,659.93
19,781737,43,155,614750,7213250,651.42,5000.0,651.42
19,781738,134,155,751250,7213250,321.65,5000.0,321.65
19,781739,137,155,755750,7213250,296.85,5000.0,296.85
19,781740,141,155,761750,7213250,331.17,5000.0,331.17
19,781741,142,155,763250,7213250,345.99,5000.0,345.99
19,781742,2,156,553250,7211750,757.28,5000.0,757.28
19,781743,31,156,596750,7211750,703.95,5000.0,703.95
19,781744,34,156,601250,7211750,680.37,5000.0,680.37
19,781745,36,156,604250,7211750,656.24,5000.0,656.24
19,781746,41,156,611750,7211750,636.11,5000.0,636.11
19,781747,43,156,614750,7211750,645.56,5000.0,645.56
19,781748,45,156,617750,7211750,620.37,5000.0,620.37
