ILAY,INODE,ICOL,IROW,X,Y,head_m,cond_m2_per_day
24,1030210,1,127,551750,7255250,705.6099,0.3776
24,1030223,1,128,551750,7253750,703.05932,0.3823
24,1030258,1,130,551750,7250750,687.16322,0.3917
24,1030277,1,131,551750,7249250,683.16105,0.3964
24,1030337,1,133,551750,7246250,685.0723,0.4058
24,1030529,1,137,551750,7240250,665.02765,0.4058
24,1030839,1,142,551750,7232750,636.83332,0.5842
24,1031240,1,147,551750,7225250,612.33387,0.7626
24,1031330,1,148,551750,7223750,606.81588,0.7626
24,1031421,1,149,551750,7222250,604.39321,0.7626
24,1031516,1,150,551750,7220750,606.49207,0.7626
24,1031608,1,151,551750,7219250,608.7888,0.7626
24,1031701,1,152,551750,7217750,604.19691,0.929167
24,1031795,1,153,551750,7216250,588.58161,1.09573
24,1031892,1,154,551750,7214750,565.90607,1.2623
24,1031989,1,155,551750,7213250,546.32135,1.42887
24,1032090,1,156,551750,7211750,536.66618,1.59543
24,1032206,1,157,551750,7210250,535.0312,1.762
24,1032335,1,158,551750,7208750,533.72283,1.93433
24,1032464,1,159,551750,7207250,525.44523,2.10667
24,1032598,1,160,551750,7205750,509.54014,2.279
24,1032733,1,161,551750,7204250,493.11825,2.45133
24,1032865,1,162,551750,7202750,483.54484,2.62367
24,1032998,1,163,551750,7201250,481.4088,2.796
24,1033133,1,164,551750,7199750,480.96797,2.8265
24,1033274,1,165,551750,7198250,474.74107,2.857
24,1033416,1,166,551750,7196750,459.76346,2.8875
24,1033561,1,167,551750,7195250,441.31329,2.918
24,1033708,1,168,551750,7193750,427.8442,2.9485
24,1033859,1,169,551750,7192250,423.4358,2.979
24,1034018,1,170,551750,7190750,426.71643,2.936
24,1034183,1,171,551750,7189250,433.26657,2.893
24,1034347,1,172,551750,7187750,438.09408,2.85
24,1034516,1,173,551750,7186250,438.83336,2.807
24,1034683,1,174,551750,7184750,437.23445,2.764
24,1034854,1,175,551750,7183250,436.3035,2.721
24,1035023,1,176,551750,7181750,437.19227,2.694
24,1035188,1,177,551750,7180250,438.73535,2.667
24,1035368,1,178,551750,7178750,438.67458,2.64
24,1035552,1,179,551750,7177250,436.06389,2.613
24,1035737,1,180,551750,7175750,432.64489,2.586
24,1035918,1,181,551750,7174250,431.0598,2.559
24,1036106,1,182,551750,7172750,433.03319,2.55383
24,1036290,1,183,551750,7171250,439.21555,2.54867
24,1036476,1,184,551750,7169750,448.55399,2.5435
24,1036663,1,185,551750,7168250,457.39238,2.53833
24,1036847,1,186,551750,7166750,462.27689,2.53317
24,1037033,1,187,551750,7165250,463.4352,2.528
