INODE,X,Y,ILAY,head_predev_m
1030179,586250,7267250,24,664.8419
1030180,608750,7264250,24,550.9009
1030181,577250,7262750,24,704.6669
1030182,578750,7262750,24,705.0505
1030183,583250,7262750,24,706.0001
1030184,592250,7262750,24,720.4404
1030185,598250,7262750,24,661.8248
1030186,599750,7262750,24,660.6388
1030187,607250,7262750,24,593.6107
1030188,577250,7261250,24,707.0996
1030189,578750,7261250,24,708.4965
1030190,580250,7261250,24,710.5528
1030191,592250,7261250,24,721.0172
1030192,598250,7261250,24,662.0001
1030193,605750,7261250,24,603.3475
1030194,607250,7261250,24,600.4419
1030195,580250,7259750,24,711.3001
1030196,605750,7259750,24,605.9648
1030197,611750,7259750,24,630.62
1030198,604250,7258250,24,613.8485
1030199,605750,7258250,24,608.6837
1030200,611750,7258250,24,630.086
1030201,617750,7258250,24,581.3194
1030202,563750,7256750,24,691.47
1030203,565250,7256750,24,691.5671
1030204,602750,7256750,24,616.5872
1030205,604250,7256750,24,616.387
1030206,608750,7256750,24,655.3276
1030207,611750,7256750,24,629.091
1030208,613250,7256750,24,627.2311
1030209,617750,7256750,24,591.685
1030210,551750,7255250,24,694.6137
1030211,560750,7255250,24,691.3476
1030212,562250,7255250,24,691.3375
1030213,563750,7255250,24,691.3498
1030214,565250,7255250,24,691.7379
1030215,566750,7255250,24,692.1538
1030216,575750,7255250,24,695.9693
1030217,578750,7255250,24,696.994
1030218,580250,7255250,24,697.2237
1030219,601250,7255250,24,730.5188
1030220,617750,7255250,24,595.2663
1030221,619250,7255250,24,595.2814
1030222,620750,7255250,24,590.3511
1030223,551750,7253750,24,694.492
1030224,553250,7253750,24,694.299
1030225,554750,7253750,24,694.1532
1030226,556250,7253750,24,694.0161
1030227,559250,7253750,24,691.415
1030228,560750,7253750,24,691.2522
1030229,562250,7253750,24,691.1268
1030230,563750,7253750,24,690.3919
1030231,565250,7253750,24,691.6881
1030232,568250,7253750,24,694.8373
1030233,572750,7253750,24,695.5939
1030234,574250,7253750,24,695.7405
1030235,575750,7253750,24,695.9662
1030236,577250,7253750,24,696.333
1030237,578750,7253750,24,696.8117
1030238,580250,7253750,24,697.1225
1030239,581750,7253750,24,697.6029
1030240,617750,7253750,24,596.9057
1030241,619250,7253750,24,597.8024
1030242,553250,7252250,24,694.2578
1030243,554750,7252250,24,694.2028
1030244,560750,7252250,24,690.8542
1030245,563750,7252250,24,691.8823
1030246,565250,7252250,24,692.5192
1030247,566750,7252250,24,693.4103
1030248,568250,7252250,24,694.0727
1030249,569750,7252250,24,694.4695
1030250,571250,7252250,24,694.9008
1030251,572750,7252250,24,695.3948
1030252,574250,7252250,24,695.687
1030253,575750,7252250,24,695.9189
1030254,577250,7252250,24,696.2076
1030255,578750,7252250,24,696.5569
1030256,580250,7252250,24,696.9271
1030257,581750,7252250,24,697.2671
1030258,551750,7250750,24,695.5548
1030259,557750,7250750,24,691.6765
1030260,562250,7250750,24,692.6543
1030261,563750,7250750,24,692.6336
1030262,565250,7250750,24,693.0175
1030263,566750,7250750,24,693.5586
1030264,568250,7250750,24,694.0422
1030265,569750,7250750,24,694.4334
1030266,571250,7250750,24,694.8329
1030267,572750,7250750,24,695.269
1030268,574250,7250750,24,695.6005
1030269,575750,7250750,24,695.8377
1030270,577250,7250750,24,696.1247
1030271,578750,7250750,24,696.4449
1030272,580250,7250750,24,696.8439
1030273,581750,7250750,24,697.285
1030274,583250,7250750,24,698.0661
1030275,611750,7250750,24,718.8833
1030276,616250,7250750,24,734.2209
1030277,551750,7249250,24,695.4759
1030278,556250,7249250,24,691.3094
1030279,557750,7249250,24,691.7977
1030280,559250,7249250,24,692.1228
1030281,560750,7249250,24,692.4483
1030282,562250,7249250,24,692.6883
1030283,563750,7249250,24,692.9093
1030284,565250,7249250,24,693.2445
1030285,566750,7249250,24,693.621
1030286,568250,7249250,24,694.0096
1030287,569750,7249250,24,694.3945
1030288,571250,7249250,24,694.8052
1030289,572750,7249250,24,695.185
1030290,574250,7249250,24,695.4868
1030291,575750,7249250,24,695.7206
1030292,577250,7249250,24,696.0325
1030293,578750,7249250,24,696.3919
1030294,580250,7249250,24,696.8251
1030295,581750,7249250,24,697.1283
1030296,584750,7249250,24,843.2133
1030297,595250,7249250,24,636.498
1030298,596750,7249250,24,632.5773
1030299,598250,7249250,24,632.2212
1030300,599750,7249250,24,635.021
1030301,623750,7249250,24,649.5784
1030302,757250,7249250,24,282.8497
1030303,760250,7249250,24,310.176
1030304,554750,7247750,24,690.4171
1030305,556250,7247750,24,691.3213
1030306,557750,7247750,24,691.8343
1030307,559250,7247750,24,692.155
1030308,560750,7247750,24,692.4453
1030309,562250,7247750,24,692.7191
1030310,563750,7247750,24,692.9893
1030311,565250,7247750,24,693.2912
1030312,566750,7247750,24,693.597
1030313,568250,7247750,24,693.9375
1030314,569750,7247750,24,694.3671
1030315,571250,7247750,24,694.798
1030316,572750,7247750,24,695.1318
1030317,574250,7247750,24,695.4199
1030318,575750,7247750,24,695.6559
1030319,577250,7247750,24,695.9313
1030320,578750,7247750,24,696.1658
1030321,587750,7247750,24,632.5238
1030322,589250,7247750,24,632.1898
1030323,590750,7247750,24,632.5829
1030324,592250,7247750,24,632.1457
1030325,593750,7247750,24,630.4538
1030326,595250,7247750,24,630.85
1030327,596750,7247750,24,630.4095
1030328,598250,7247750,24,630.2785
1030329,599750,7247750,24,630.2195
1030330,601250,7247750,24,628.7025
1030331,617750,7247750,24,699.549
1030332,619250,7247750,24,694.8368
1030333,748250,7247750,24,341.8846
1030334,755750,7247750,24,289.7611
1030335,757250,7247750,24,295.5242
1030336,760250,7247750,24,322.3688
1030337,551750,7246250,24,670.4734
1030338,556250,7246250,24,691.4349
1030339,557750,7246250,24,691.8567
1030340,559250,7246250,24,692.1887
1030341,560750,7246250,24,692.4498
1030342,562250,7246250,24,692.7207
1030343,563750,7246250,24,692.9952
1030344,565250,7246250,24,693.2581
1030345,566750,7246250,24,693.5469
1030346,568250,7246250,24,693.9146
1030347,569750,7246250,24,694.3711
1030348,571250,7246250,24,694.7699
1030349,572750,7246250,24,695.1067
1030350,574250,7246250,24,695.3769
1030351,575750,7246250,24,695.5742
1030352,577250,7246250,24,695.7206
1030353,583250,7246250,24,637.5012
1030354,584750,7246250,24,637.0368
1030355,586250,7246250,24,635.2849
1030356,587750,7246250,24,632.3248
1030357,589250,7246250,24,630.7355
1030358,590750,7246250,24,630.8092
1030359,592250,7246250,24,629.2035
1030360,593750,7246250,24,628.2949
1030361,595250,7246250,24,628.3158
1030362,596750,7246250,24,628.2947
1030363,598250,7246250,24,628.3053
1030364,599750,7246250,24,627.8285
1030365,601250,7246250,24,627.0972
1030366,602750,7246250,24,626.2561
1030367,625250,7246250,24,637.7639
1030368,745250,7246250,24,313.6004
1030369,746750,7246250,24,317.9147
1030370,748250,7246250,24,326.7501
1030371,749750,7246250,24,321.0944
1030372,751250,7246250,24,317.3834
1030373,752750,7246250,24,313.7663
1030374,754250,7246250,24,309.2162
1030375,755750,7246250,24,301.962
1030376,757250,7246250,24,302.9526
1030377,758750,7246250,24,309.5424
1030378,760250,7246250,24,315.6838
1030379,761750,7246250,24,313.7279
1030380,553250,7244750,24,680.1777
1030381,554750,7244750,24,682.0573
1030382,557750,7244750,24,691.7586
1030383,559250,7244750,24,692.1353
1030384,560750,7244750,24,692.4316
1030385,562250,7244750,24,692.7026
1030386,563750,7244750,24,692.9739
1030387,565250,7244750,24,693.2098
1030388,566750,7244750,24,693.5053
1030389,568250,7244750,24,693.9153
1030390,569750,7244750,24,694.3509
1030391,571250,7244750,24,694.7513
1030392,572750,7244750,24,695.1093
1030393,574250,7244750,24,695.3836
1030394,575750,7244750,24,695.5857
1030395,577250,7244750,24,695.6577
1030396,581750,7244750,24,638.0619
1030397,583250,7244750,24,637.7316
1030398,584750,7244750,24,637.5601
1030399,587750,7244750,24,630.0311
1030400,589250,7244750,24,627.5638
1030401,592250,7244750,24,625.5514
1030402,593750,7244750,24,625.4653
1030403,595250,7244750,24,625.9329
1030404,596750,7244750,24,626.3429
