ILAY,INODE,ICOL,IROW,X,Y,stage_m,cond_m2_per_day,rbot_m
24,1030180,39,121,608750,7264250,550.8,5000.0,550.8
24,1030187,38,122,607250,7262750,592.35,5000.0,592.35
24,1030193,37,123,605750,7261250,606.8,5000.0,606.8
24,1030194,38,123,607250,7261250,645.95,5000.0,645.95
24,1030196,37,124,605750,7259750,650.42,5000.0,650.42
24,1030197,41,124,611750,7259750,670.71,5000.0,670.71
24,1030198,36,125,604250,7258250,671.19,5000.0,671.19
24,1030199,37,125,605750,7258250,669.19,5000.0,669.19
24,1030200,41,125,611750,7258250,700.2,5000.0,700.2
24,1030201,45,125,617750,7258250,580.33,5000.0,580.33
24,1030202,9,126,563750,7256750,743.27,5000.0,743.27
24,1030203,10,126,565250,7256750,748.52,5000.0,748.52
24,1030204,35,126,602750,7256750,678.25,5000.0,678.25
24,1030205,36,126,604250,7256750,724.58,5000.0,724.58
24,1030206,39,126,608750,7256750,655.17,5000.0,655.17
24,1030207,41,126,611750,7256750,720.24,5000.0,720.24
24,1030208,42,126,613250,7256750,626.66,5000.0,626.66
24,1030209,45,126,617750,7256750,666.45,5000.0,666.45
24,1030211,7,127,560750,7255250,707.85,5000.0,707.85
24,1030212,8,127,562250,7255250,729.49,5000.0,729.49
24,1030213,9,127,563750,7255250,720.22,5000.0,720.22
24,1030214,10,127,565250,7255250,706.44,5000.0,706.44
24,1030215,11,127,566750,7255250,709.96,5000.0,709.96
24,1030219,34,127,601250,7255250,730.32,5000.0,730.32
24,1030220,45,127,617750,7255250,731.39,5000.0,731.39
24,1030221,46,127,619250,7255250,677.47,5000.0,677.47
24,1030222,47,127,620750,7255250,589.81,5000.0,589.81
24,1030224,2,128,553250,7253750,717.89,5000.0,717.89
24,1030225,3,128,554750,7253750,698.1,5000.0,698.1
24,1030226,4,128,556250,7253750,693.9,5000.0,693.9
24,1030227,6,128,559250,7253750,698.29,5000.0,698.29
24,1030228,7,128,560750,7253750,706.88,5000.0,706.88
24,1030229,8,128,562250,7253750,698.57,5000.0,698.57
24,1030230,9,128,563750,7253750,687.92,5000.0,687.92
24,1030231,10,128,565250,7253750,692.41,5000.0,692.41
24,1030232,12,128,568250,7253750,718.22,5000.0,718.22
24,1030237,19,128,578750,7253750,787.09,5000.0,787.09
24,1030240,45,128,617750,7253750,742.59,5000.0,742.59
24,1030241,46,128,619250,7253750,660.37,5000.0,660.37
24,1030242,2,129,553250,7252250,718.97,5000.0,718.97
24,1030243,3,129,554750,7252250,696.65,5000.0,696.65
24,1030244,7,129,560750,7252250,690.56,5000.0,690.56
24,1030275,41,130,611750,7250750,718.65,5000.0,718.65
24,1030276,44,130,616250,7250750,734.01,5000.0,734.01
24,1030295,21,131,581750,7249250,819.42,5000.0,819.42
24,1030296,23,131,584750,7249250,842.97,5000.0,842.97
24,1030301,49,131,623750,7249250,649.41,5000.0,649.41
24,1030302,138,131,757250,7249250,282.62,5000.0,282.62
24,1030303,140,131,760250,7249250,309.93,5000.0,309.93
24,1030319,18,132,577250,7247750,779.1,5000.0,779.1
24,1030331,45,132,617750,7247750,699.35,5000.0,699.35
24,1030333,132,132,748250,7247750,348.94,5000.0,348.94
24,1030334,137,132,755750,7247750,289.54,5000.0,289.54
24,1030335,138,132,757250,7247750,295.48,5000.0,295.48
24,1030336,140,132,760250,7247750,339.27,5000.0,339.27
24,1030353,22,133,583250,7246250,822.54,5000.0,822.54
24,1030354,23,133,584750,7246250,841.47,5000.0,841.47
24,1030355,24,133,586250,7246250,854.97,5000.0,854.97
24,1030396,21,134,581750,7244750,794.95,5000.0,794.95
24,1030397,22,134,583250,7244750,822.78,5000.0,822.78
24,1030398,23,134,584750,7244750,836.12,5000.0,836.12
24,1030414,51,134,626750,7244750,704.57,5000.0,704.57
24,1030415,129,134,743750,7244750,294.04,5000.0,294.04
24,1030416,130,134,745250,7244750,312.62,5000.0,312.62
24,1030444,17,135,575750,7243250,755.44,5000.0,755.44
24,1030445,21,135,581750,7243250,792.54,5000.0,792.54
24,1030446,23,135,584750,7243250,815.7,5000.0,815.7
24,1030452,31,135,596750,7243250,795.56,5000.0,795.56
24,1030463,51,135,626750,7243250,625.32,5000.0,625.32
24,1030494,16,136,574250,7241750,744.88,5000.0,744.88
24,1030495,24,136,586250,7241750,807.8,5000.0,807.8
24,1030502,31,136,596750,7241750,782.74,5000.0,782.74
24,1030512,49,136,623750,7241750,575.88,5000.0,575.88
24,1030541,14,137,571250,7240250,729.97,5000.0,729.97
24,1030543,19,137,578750,7240250,761.42,5000.0,761.42
24,1030546,22,137,583250,7240250,793.14,5000.0,793.14
24,1030553,29,137,593750,7240250,768.54,5000.0,768.54
24,1030554,30,137,595250,7240250,766.83,5000.0,766.83
24,1030555,31,137,596750,7240250,766.42,5000.0,766.42
24,1030594,15,138,572750,7238750,728.99,5000.0,728.99
24,1030607,28,138,592250,7238750,753.36,5000.0,753.36
24,1030610,31,138,596750,7238750,746.17,5000.0,746.17
24,1030641,143,138,764750,7238750,254.04,5000.0,254.04
24,1030662,25,139,587750,7237250,762.77,5000.0,762.77
24,1030663,26,139,589250,7237250,747.34,5000.0,747.34
24,1030664,27,139,590750,7237250,739.79,5000.0,739.79
24,1030665,28,139,592250,7237250,733.85,5000.0,733.85
24,1030666,29,139,593750,7237250,729.22,5000.0,729.22
24,1030686,121,139,731750,7237250,309.24,5000.0,309.24
24,1030687,122,139,733250,7237250,370.26,5000.0,370.26
24,1030688,123,139,734750,7237250,351.48,5000.0,351.48
24,1030689,124,139,736250,7237250,337.91,5000.0,337.91
24,1030690,129,139,743750,7237250,303.41,5000.0,303.41
24,1030706,145,139,767750,7237250,271.25,5000.0,271.25
24,1030711,9,140,563750,7235750,700.45,5000.0,700.45
24,1030725,27,140,590750,7235750,720.19,5000.0,720.19
24,1030726,28,140,592250,7235750,718.6,5000.0,718.6
24,1030748,121,140,731750,7235750,314.49,5000.0,314.49
24,1030752,125,140,737750,7235750,349.12,5000.0,349.12
24,1030773,5,141,557750,7234250,682.65,5000.0,682.65
24,1030775,12,141,568250,7234250,706.96,5000.0,706.96
24,1030776,13,141,569750,7234250,710.62,5000.0,710.62
24,1030777,15,141,572750,7234250,724.97,5000.0,724.97
24,1030784,22,141,583250,7234250,759.2,5000.0,759.2
24,1030787,25,141,587750,7234250,732.26,5000.0,732.26
24,1030788,26,141,589250,7234250,725.1,5000.0,725.1
24,1030804,42,141,613250,7234250,642.81,5000.0,642.81
24,1030805,43,141,614750,7234250,642.81,5000.0,642.81
24,1030806,44,141,616250,7234250,645.56,5000.0,645.56
24,1030813,122,141,733250,7234250,355.46,5000.0,355.46
24,1030843,11,142,566750,7232750,700.79,5000.0,700.79
24,1030849,17,142,575750,7232750,739.79,5000.0,739.79
24,1030854,22,142,583250,7232750,748.7,5000.0,748.7
24,1030858,26,142,589250,7232750,710.5,5000.0,710.5
24,1030911,5,143,557750,7231250,670.27,5000.0,670.27
24,1030926,21,143,581750,7231250,735.72,5000.0,735.72
24,1030927,22,143,583250,7231250,734.69,5000.0,734.69
24,1030951,47,143,620750,7231250,594.66,5000.0,594.66
24,1030955,114,143,721250,7231250,565.35,5000.0,565.35
24,1030956,115,143,722750,7231250,524.79,5000.0,524.79
24,1030957,116,143,724250,7231250,449.69,5000.0,449.69
24,1030959,121,143,731750,7231250,446.45,5000.0,446.45
24,1030991,6,144,559250,7229750,670.27,5000.0,670.27
24,1031006,21,144,581750,7229750,727.36,5000.0,727.36
24,1031007,22,144,583250,7229750,726.23,5000.0,726.23
24,1031030,45,144,617750,7229750,577.23,5000.0,577.23
24,1031031,48,144,622250,7229750,565.28,5000.0,565.28
24,1031033,114,144,721250,7229750,549.58,5000.0,549.58
24,1031034,115,144,722750,7229750,552.43,5000.0,552.43
24,1031035,116,144,724250,7229750,502.48,5000.0,502.48
24,1031045,129,144,743750,7229750,362.66,5000.0,362.66
24,1031046,130,144,745250,7229750,355.92,5000.0,355.92
24,1031068,3,145,554750,7228250,659.53,5000.0,659.53
24,1031084,19,145,578750,7228250,715.77,5000.0,715.77
24,1031085,20,145,580250,7228250,714.85,5000.0,714.85
24,1031086,21,145,581750,7228250,708.56,5000.0,708.56
24,1031113,114,145,721250,7228250,564.35,5000.0,564.35
24,1031114,115,145,722750,7228250,541.59,5000.0,541.59
24,1031116,118,145,727250,7228250,421.45,5000.0,421.45
24,1031119,122,145,733250,7228250,426.06,5000.0,426.06
24,1031149,152,145,778250,7228250,340.07,5000.0,340.07
24,1031150,153,145,779750,7228250,358.07,5000.0,358.07
24,1031169,20,146,580250,7226750,697.31,5000.0,697.31
24,1031199,114,146,721250,7226750,544.79,5000.0,544.79
24,1031200,115,146,722750,7226750,529.02,5000.0,529.02
24,1031201,116,146,724250,7226750,531.62,5000.0,531.62
24,1031208,123,146,734750,7226750,411.49,5000.0,411.49
24,1031209,124,146,736250,7226750,415.65,5000.0,415.65
