RN,YEAR,PROP_ID,GIS_LAT,GIS_LNG,IN_CMA,IN_AOI,BORE_TYPE,BORE_STATUS,OGIA_P3,FM_GROUP,MainAq,FORMATION,LAYER,REL_T,SD_Prop_Dry,SD_Prop_Av,SD_Prop_Wet,SI_Prop_Dry,SI_Prop_Av,SI_Prop_Wet,SD_Bore_Dry,SD_Bore_Av,SD_Bore_Wet,SI_Bore_Dry,SI_Bore_Av,SI_Bore_Wet,BoreYld,YldAuthPCT,SHARE_ENT_EVEN,SHARE_ENT_YLD,AUTH_REFS,NOM_ENT,NSD_Bore_Wet,NSD_Bore_Av,NSD_Bore_Dry,GMA,Limitation,WU_SOURCE,Metered_Bore,Metered_Prop,Metered_Source,ClimateZone,Climate,SD_Prop,SI_Prop,NSD_Bore,SD_Bore,SI_Bore,SI_TYPE,WU_CLASS,ML_Bore,ML_Aquifer
106780,2024,372098,-27.55249242,152.1253242,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.993268887,0.540338191,0.534287462,0.528236734,,,,0.540338191,0.534287462,0.528236734,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.534287462,,,0.534287462,0,,S&D,0.534287462,0.530691113
173405,2024,372134,-27.55696147,152.1255878,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.99233214,0.508049497,0.506842073,0.505634648,,,,0.508049497,0.506842073,0.505634648,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.506842073,,,0.506842073,0,,S&D,0.506842073,0.502955679
56276,2024,372141,-27.55774618,152.1249722,,,PWS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.948009747,0.620119303,0.602101408,0.584083512,,,,0.620119303,0.602101408,0.584083512,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.602101408,,,0.602101408,0,,S&D,0.602101408,0.570798003
75287,2024,372184,-27.56233204,152.132361,,,PWS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,0.747127354,0.710058251,0.672989148,,,,0.747127354,0.710058251,0.672989148,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.710058251,,,0.710058251,0,,S&D,0.710058251,0.710058251
75936,2024,372206,-27.5617933,152.1441776,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.997267121,0.766428692,0.726464388,0.686500084,,,,0.766428692,0.726464388,0.686500084,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.726464388,,,0.726464388,0,,S&D,0.726464388,0.724479049
75933,2024,372350,-27.54377799,152.1368766,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,,,,1.5,1.35,1.2,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.35,,,1.35,0,,S&D,1.35,1.35
129591,2024,372372,-27.4643513,152.0594305,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,0.540125599,0.534106759,0.528087919,,,,0.540125599,0.534106759,0.528087919,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.534106759,,,0.534106759,0,,S&D,0.534106759,0.534106759
129274,2024,372385,-27.4614944,152.0590849,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,0.544784382,0.538066724,0.531349067,,,,0.544784382,0.538066724,0.531349067,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.538066724,,,0.538066724,0,,S&D,0.538066724,0.538066724
173675,2024,372404,-27.46138889,152.0525,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,0.540916502,0.534779026,0.528641551,,,,0.540916502,0.534779026,0.528641551,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.534779026,,,0.534779026,0,,S&D,0.534779026,0.534779026
106828,2024,372408,-27.46210341,152.0449547,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,0.602420219,0.587057186,0.571694153,,,,0.602420219,0.587057186,0.571694153,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.587057186,,,0.587057186,0,,S&D,0.587057186,0.587057186
106809,2024,372413,-27.46555403,152.0609043,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,0.540272349,0.534231497,0.528190645,,,,0.540272349,0.534231497,0.528190645,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.534231497,,,0.534231497,0,,S&D,0.534231497,0.534231497
75179,2024,372414,-27.46531765,152.0604979,,,PWS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,0.903051804,0.540281999,0.534239699,0.528197399,,,,0.270141,0.26711985,0.2640987,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,0.534239699,,,0.26711985,0,,S&D,0.26711985,0.241223062
